,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-12-03,360.0,366.0,352.0,358.49,358.49,8306500
1,2018-12-04,356.05,368.68,352.0,359.7,359.7,8461900
2,2018-12-06,356.01,367.38,350.76,363.06,363.06,7842500
3,2018-12-07,369.0,379.49,357.65,357.97,357.97,11511200
4,2018-12-10,360.0,365.98,353.12,365.15,365.15,6613500
5,2018-12-11,369.91,372.17,360.23,366.76,366.76,6308800
6,2018-12-12,369.42,371.91,365.16,366.6,366.6,5027000
7,2018-12-13,370.15,377.44,366.75,376.79,376.79,7365900
8,2018-12-14,375.0,377.87,364.33,365.71,365.71,6337600
9,2018-12-17,362.0,365.7,343.88,348.42,348.42,7674000
10,2018-12-18,350.54,351.55,333.69,337.03,337.03,7100000
11,2018-12-19,337.6,347.01,329.74,332.97,332.97,8274200
12,2018-12-20,327.05,330.29,311.87,315.38,315.38,9071900
13,2018-12-21,317.4,323.47,312.44,319.77,319.77,8016800
14,2018-12-24,313.5,314.5,295.2,295.39,295.39,5559900
15,2018-12-26,300.0,326.97,294.09,326.09,326.09,8163100
16,2018-12-27,319.84,322.17,301.5,316.13,316.13,8575100
17,2018-12-28,323.1,336.24,318.41,333.87,333.87,9939000
18,2018-12-31,337.79,339.21,325.26,332.8,332.8,6302300
19,2019-01-02,306.1,315.13,298.8,310.12,310.12,11658600
20,2019-01-03,307.0,309.4,297.38,300.36,300.36,6965200
21,2019-01-04,306.0,318.0,302.73,317.69,317.69,7394100
22,2019-01-07,321.72,336.74,317.75,334.96,334.96,7551200
23,2019-01-08,341.96,344.01,327.02,335.35,335.35,7008500
24,2019-01-09,335.5,343.5,331.47,338.53,338.53,5432900
25,2019-01-10,334.4,345.39,331.79,344.97,344.97,6056400
26,2019-01-11,342.09,348.41,338.77,347.26,347.26,5039100
27,2019-01-14,342.38,342.5,334.0,334.4,334.4,5247300
28,2019-01-15,335.0,348.8,334.5,344.43,344.43,6056600
29,2019-01-16,344.78,352.0,343.5,346.05,346.05,4691700
30,2019-01-17,346.21,351.5,344.15,347.31,347.31,3676700
31,2019-01-18,323.0,327.13,299.73,302.26,302.26,24150800
32,2019-01-22,304.82,308.0,295.5,298.92,298.92,12066700
33,2019-01-23,292.5,294.5,281.69,287.59,287.59,12530000
34,2019-01-24,283.03,293.68,279.28,291.51,291.51,8012200
35,2019-01-25,294.39,298.52,289.55,297.04,297.04,7249600
36,2019-01-28,292.91,297.46,287.75,296.38,296.38,6423300
37,2019-01-29,295.27,298.56,291.8,297.46,297.46,4621700
38,2019-01-30,300.45,309.0,298.49,308.77,308.77,11250300
39,2019-01-31,301.0,311.56,294.0,307.02,307.02,12569200
40,2019-02-01,305.42,316.1,303.5,312.21,312.21,7283400
41,2019-02-04,312.98,315.3,301.88,312.89,312.89,7352100
42,2019-02-05,312.49,322.44,312.25,321.35,321.35,6742800
43,2019-02-06,319.59,324.24,315.62,317.22,317.22,5038500
44,2019-02-07,313.3,314.7,303.0,307.51,307.51,6520600
45,2019-02-08,306.83,307.45,298.5,305.8,305.8,5844200
46,2019-02-11,311.6,318.6,310.5,312.84,312.84,7129700
47,2019-02-12,316.2,318.19,309.62,311.81,311.81,5517600
48,2019-02-13,312.35,312.75,305.57,308.17,308.17,5141600
49,2019-02-14,303.38,306.77,301.0,303.77,303.77,5200800
50,2019-02-15,304.5,308.0,303.9,307.88,307.88,3904900
51,2019-02-19,306.56,311.54,305.47,305.64,305.64,4168400
52,2019-02-20,304.41,306.3,299.0,302.56,302.56,7142100
53,2019-02-21,301.81,303.24,290.5,291.23,291.23,8909200
54,2019-02-22,294.49,296.5,292.1,294.71,294.71,5740600
55,2019-02-25,297.91,302.9,297.0,298.77,298.77,6626500
56,2019-02-26,292.22,302.01,288.77,297.86,297.86,8582500
57,2019-02-27,301.78,316.3,300.55,314.74,314.74,11183900
58,2019-02-28,318.92,320.0,310.81,319.88,319.88,10520700
59,2019-03-01,306.94,307.13,291.9,294.79,294.79,22911400
60,2019-03-04,298.12,299.0,282.78,285.36,285.36,17096800
61,2019-03-05,282.0,284.0,270.1,276.54,276.54,18764700
62,2019-03-06,276.48,281.51,274.39,276.24,276.24,10335500
63,2019-03-07,278.84,284.7,274.25,276.59,276.59,9442500
64,2019-03-08,276.91,285.59,275.89,284.14,284.14,8819600
65,2019-03-11,283.52,291.28,280.5,290.92,290.92,7392300
66,2019-03-12,286.49,288.07,281.06,283.36,283.36,7504100
67,2019-03-13,283.9,291.99,282.7,288.96,288.96,6844700
68,2019-03-14,292.45,295.39,288.29,289.96,289.96,7103400
69,2019-03-15,283.51,283.72,274.4,275.43,275.43,14785500
70,2019-03-18,276.0,278.05,267.3,269.49,269.49,10281000
71,2019-03-19,267.5,273.3,263.46,267.47,267.47,11800600
72,2019-03-20,269.69,274.97,266.3,273.6,273.6,6908200
73,2019-03-21,272.6,276.45,268.45,274.02,274.02,5947100
74,2019-03-22,272.58,272.8,264.0,264.53,264.53,8745600
75,2019-03-25,259.71,263.18,254.46,260.42,260.42,10215000
76,2019-03-26,264.44,270.26,264.43,267.77,267.77,7350900
77,2019-03-27,268.75,275.37,268.18,274.83,274.83,8779200
78,2019-03-28,277.16,280.33,275.1,278.62,278.62,6774100
79,2019-03-29,278.7,280.16,274.5,279.86,279.86,5991300
80,2019-04-01,282.62,289.2,281.28,289.18,289.18,8110400
81,2019-04-02,288.3,289.44,283.88,285.88,285.88,5478900
82,2019-04-03,287.32,296.17,287.17,291.81,291.81,7919400
83,2019-04-04,261.89,271.2,260.59,267.78,267.78,23720700
84,2019-04-05,269.86,276.1,266.11,274.96,274.96,13038300
85,2019-04-08,277.69,281.16,270.44,273.2,273.2,10410400
86,2019-04-09,271.65,275.0,269.61,272.31,272.31,5904000
87,2019-04-10,276.74,278.38,272.89,276.06,276.06,7061300
