Day,Tesla: (Worldwide),Ford Motor Company: (Worldwide),Chevrolet: (Worldwide),Rivian: (Worldwide)
9/6/19,9,65,34,0
9/7/19,9,67,35,0
9/8/19,10,64,32,0
9/9/19,9,66,34,0
9/10/19,9,66,32,0
9/11/19,9,65,33,0
9/12/19,9,66,34,0
9/13/19,9,67,35,0
9/14/19,10,68,35,0
9/15/19,10,65,33,0
9/16/19,9,67,34,0
9/17/19,9,65,34,0
9/18/19,10,64,34,0
9/19/19,10,65,32,1
9/20/19,10,66,35,2
9/21/19,10,66,35,1
9/22/19,10,62,33,1
9/23/19,9,64,33,1
9/24/19,9,64,33,0
9/25/19,9,64,33,0
9/26/19,9,64,32,0
9/27/19,11,66,34,0
9/28/19,11,67,34,0
9/29/19,11,64,32,0
9/30/19,11,65,33,0
10/1/19,10,63,31,0
10/2/19,10,63,32,0
10/3/19,11,64,33,0
10/4/19,10,64,32,0
10/5/19,10,67,34,0
10/6/19,10,62,31,0
10/7/19,9,65,32,0
10/8/19,9,65,32,0
10/9/19,9,64,31,0
10/10/19,9,63,31,0
10/11/19,10,64,32,0
10/12/19,10,65,33,0
10/13/19,10,62,31,0
10/14/19,9,64,32,0
10/15/19,9,65,31,0
10/16/19,9,64,33,0
10/17/19,9,64,32,0
10/18/19,10,65,34,0
10/19/19,10,66,33,0
10/20/19,10,61,32,0
10/21/19,9,65,33,0
10/22/19,9,64,32,0
10/23/19,10,62,31,0
10/24/19,13,62,31,0
10/25/19,11,67,33,0
10/26/19,11,66,33,0
10/27/19,11,60,30,0
10/28/19,10,66,33,0
10/29/19,9,66,32,0
10/30/19,9,63,30,0
10/31/19,9,63,31,0
11/1/19,9,67,31,0
11/2/19,10,65,33,0
11/3/19,9,62,30,0
11/4/19,9,66,33,0
11/5/19,9,64,33,0
11/6/19,9,62,31,0
11/7/19,9,64,31,0
11/8/19,9,65,33,0
11/9/19,10,68,34,0
11/10/19,9,63,32,0
11/11/19,9,64,32,0
11/12/19,10,66,32,0
11/13/19,13,65,31,0
11/14/19,11,66,31,0
11/15/19,10,68,31,0
11/16/19,10,74,35,0
11/17/19,10,71,31,0
11/18/19,11,78,32,0
11/19/19,10,73,33,0
11/20/19,11,69,32,0
11/21/19,16,68,33,0
11/22/19,100,69,34,4
11/23/19,69,72,34,2
11/24/19,52,68,31,1
11/25/19,43,67,32,1
11/26/19,32,68,32,1
11/27/19,27,66,30,1
11/28/19,26,58,26,1
11/29/19,21,61,30,1
11/30/19,19,67,33,0
12/1/19,17,59,29,0
12/2/19,14,61,30,0
12/3/19,13,63,31,0
12/4/19,13,65,31,0
